timestamp,atm_30,atm_7,atm_90,atm_180,BTC,25delta_call_iv_7,25delta_put_iv_7
2023-04-23 00:00:00+00:00,50.3591859,48.12214817,51.49571827,53.25392615,27598.75971,46.4,53.84
2023-04-24 00:00:00+00:00,49.19419989,44.89760651,51.44689531,53.77546785,27524.76702,44.93,53.39
2023-04-25 00:00:00+00:00,48.51844248,46.16779903,51.00161781,53.73863357,28336.03797,47.46,47.36
2023-04-26 00:00:00+00:00,51.9364824,53.98317201,52.51868817,54.42765242,28377.97808,53.76,55.69
2023-04-27 00:00:00+00:00,51.44708244,50.52754496,51.25411414,53.71708982,29474.46553,52.59,52.89
2023-04-28 00:00:00+00:00,47.02310093,44.0911352,49.86874618,52.98033619,29357.33431,48.99,48.59
2023-04-29 00:00:00+00:00,46.88059283,45.28627057,49.22088308,51.85001833,29231.58658,45.19,45.34
2023-04-30 00:00:00+00:00,49.9951157,50.38575789,50.1907132,51.95161709,29325.83994,47.51,49.23
2023-05-01 00:00:00+00:00,50.01455586,52.40267589,50.499865,52.3983799,28095.04192,51.84,55.59
2023-05-02 00:00:00+00:00,50.04197574,52.71313546,50.39004071,52.33234403,28648.36886,51.4,52.84
2023-05-03 00:00:00+00:00,48.87554976,50.56883603,49.53956557,51.58837907,29007.54589,52.35,52.99
2023-05-04 00:00:00+00:00,48.11609882,46.51915192,49.62520611,51.81015865,28844.32302,51.96,51.51
2023-05-05 00:00:00+00:00,48.6424163,45.720434,49.6515721,52.0888449,29524.60926,47.35,47.12
2023-05-06 00:00:00+00:00,47.90870413,45.41573451,49.32713902,51.7364578,28917.36079,47.4,48.49
2023-05-07 00:00:00+00:00,48.71590497,48.89725257,49.59748845,51.18841228,28441.36804,45.86,50.55
2023-05-08 00:00:00+00:00,48.50126203,49.01250674,48.43403082,50.30075993,27716.36726,49.18,55.3
2023-05-09 00:00:00+00:00,49.0510839,51.47533897,48.62484621,50.50314793,27652.94663,48.92,50.47
2023-05-10 00:00:00+00:00,47.5024546,47.41812619,49.21555436,51.71067176,27611.85813,49.63,52.33
2023-05-11 00:00:00+00:00,47.58981246,45.20506872,49.48505676,51.33348699,27002.493,45.61,49.04
2023-05-12 00:00:00+00:00,46.53549277,42.892031,49.15252274,51.50102327,26817.23548,47,51.68
2023-05-13 00:00:00+00:00,45.5016912,41.50471687,47.64988975,48.82873271,26803.49366,41.39,44.53
2023-05-14 00:00:00+00:00,45.05004976,45.09290577,46.99366195,49.87130366,26916.44228,41.98,46.14
2023-05-15 00:00:00+00:00,49.60186237,50.71435203,49.33608751,51.05616727,27197.15359,51.3,53.49
